"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"GOVG","No government grant receipt","Mediator",5,2630,1604,0.609885931558935,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"SCHL","School disengagement","Mediator",8,2630,834,0.317110266159696,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"SCSP","Low social support","Mediator",7,2630,243,0.0923954372623574,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"VLNC","Violence exposure","Mediator",6,2630,837,0.318250950570342,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"DNKA","Alcohol use","Mediator",2,361,146,0.404432132963989,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"DPBN","Depression","Outcome",1,358,22,0.0614525139664804,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"ESXC","Ever had sexual intercourse","Mediator",3,349,162,0.464183381088825,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"FDSC","Food insecurity","Mediator",4,361,117,0.32409972299169,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"GOVG","No government grant receipt","Mediator",5,361,220,0.609418282548476,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"SCHL","School disengagement","Mediator",8,361,91,0.25207756232687,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"SCSP","Low social support","Mediator",7,361,34,0.0941828254847646,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Declining Maternal Absence",361,"VLNC","Violence exposure","Mediator",6,361,131,0.362880886426593,0.892249307479224
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"DNKA","Alcohol use","Mediator",2,264,104,0.393939393939394,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"DPBN","Depression","Outcome",1,258,17,0.0658914728682171,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"ESXC","Ever had sexual intercourse","Mediator",3,257,122,0.474708171206226,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"FDSC","Food insecurity","Mediator",4,264,75,0.284090909090909,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"GOVG","No government grant receipt","Mediator",5,264,149,0.56439393939394,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"SCHL","School disengagement","Mediator",8,264,81,0.306818181818182,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"SCSP","Low social support","Mediator",7,264,22,0.0833333333333333,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late-Onset Maternal Absence",264,"VLNC","Violence exposure","Mediator",6,264,79,0.299242424242424,0.858215909090909
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"DNKA","Alcohol use","Mediator",2,249,91,0.365461847389558,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"DPBN","Depression","Outcome",1,247,18,0.0728744939271255,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"ESXC","Ever had sexual intercourse","Mediator",3,238,99,0.415966386554622,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"FDSC","Food insecurity","Mediator",4,249,74,0.29718875502008,0.881658634538153
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Mid-Childhood Onset Maternal Absence",249,"GOVG","No government grant receipt","Mediator",5,249,142,0.570281124497992,0.881658634538153
