"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","VariableOrder","Depression","Alcohol use","Ever had sexual intercourse","Food insecurity","No government grant receipt","Violence exposure","Low social support","School disengagement"
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,1,0.0461133069828722,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,2,,0.347258485639687,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,3,,,0.336912751677852,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,4,,,,0.258485639686684,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,5,,,,,0.54177545691906,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,6,,,,,,0.272845953002611,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,7,,,,,,,0.109660574412533,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Minimal Low SES",766,8,,,,,,,,0.191906005221932
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,1,0.0571428571428571,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,2,,0.369905956112853,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,3,,,0.479099678456592,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,4,,,,0.294670846394984,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,5,,,,,0.570532915360502,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,6,,,,,,0.322884012539185,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,7,,,,,,,0.0971786833855799,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Persistent Moderate Low SES",319,8,,,,,,,,0.304075235109718
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,1,0.05,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,2,,0.35131195335277,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,3,,,0.289317507418398,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,4,,,,0.17930029154519,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,5,,,,,0.591836734693878,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,6,,,,,,0.314868804664723,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Stable Higher SES",686,7,,,,,,,0.0992700729927007,
