"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","FDSC","Food insecurity","Mediator",4,798,217,0.271929824561403
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","GOVG","No government grant receipt","Mediator",5,798,510,0.639097744360902
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCHL","School disengagement","Mediator",8,798,246,0.308270676691729
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCSP","Low social support","Mediator",7,798,76,0.0952380952380952
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","VLNC","Violence exposure","Mediator",6,798,271,0.339598997493734
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,893,314,0.351623740201568
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,888,51,0.0574324324324325
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,878,407,0.463553530751707
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,893,264,0.295632698768197
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,893,538,0.602463605823068
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,893,271,0.303471444568868
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,893,95,0.106382978723404
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,893,269,0.301231802911534
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","DNKA","Alcohol use","Mediator",2,753,239,0.317397078353254
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","DPBN","Depression","Outcome",1,731,39,0.0533515731874145
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","ESXC","Ever had sexual intercourse","Mediator",3,724,348,0.480662983425415
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","FDSC","Food insecurity","Mediator",4,753,220,0.292164674634794
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","GOVG","No government grant receipt","Mediator",5,753,496,0.658698539176627
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","SCHL","School disengagement","Mediator",8,753,263,0.349269588313412
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","SCSP","Low social support","Mediator",7,753,69,0.0916334661354582
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 1","VLNC","Violence exposure","Mediator",6,753,226,0.300132802124834
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","DNKA","Alcohol use","Mediator",2,284,101,0.355633802816901
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","DPBN","Depression","Outcome",1,262,15,0.0572519083969466
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","ESXC","Ever had sexual intercourse","Mediator",3,267,147,0.550561797752809
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","FDSC","Food insecurity","Mediator",4,284,91,0.320422535211267
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","GOVG","No government grant receipt","Mediator",5,284,173,0.609154929577465
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","SCHL","School disengagement","Mediator",8,284,114,0.401408450704226
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","SCSP","Low social support","Mediator",7,284,24,0.0845070422535212
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 2","VLNC","Violence exposure","Mediator",6,284,86,0.302816901408451
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","DNKA","Alcohol use","Mediator",2,202,79,0.391089108910891
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","DPBN","Depression","Outcome",1,202,15,0.0742574257425742
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","ESXC","Ever had sexual intercourse","Mediator",3,196,103,0.525510204081632
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","FDSC","Food insecurity","Mediator",4,202,57,0.282178217821782
"Joint Parental Residence Patterns","JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)","Class 3","GOVG","No government grant receipt","Mediator",5,202,116,0.574257425742574
