"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",28,"SCSP",0.0487446496979137,0.243224205169184
"ULWOM",28,"SCHL",0.183331282631527,0.186128601217857
"ULWOM",29,"DNKA",0.306721161645608,0.154970423814849
"ULWOM",29,"ESXC",0.442364996220064,0.190057568034222
"ULWOM",29,"FDSC",0.724709554538062,0.144258986610462
"ULWOM",29,"GOVG",0.104543045274789,0.160420857183096
"ULWOM",29,"VLNC",0.620291180562388,0.148585098267256
"ULWOM",29,"SCSP",0.0413210102415583,0.243472286854054
"ULWOM",29,"SCHL",0.179266968569943,0.186524865136848
"ULWOM",30,"DNKA",0.306961670082782,0.154812194168487
"ULWOM",30,"ESXC",0.447597512966038,0.189954864870658
"ULWOM",30,"FDSC",0.722164577032559,0.144327871591271
"ULWOM",30,"GOVG",0.108587736280989,0.160316323825075
"ULWOM",30,"VLNC",0.615838896936537,0.148405797161568
"ULWOM",30,"SCSP",0.0533970103042769,0.243804589320145
"ULWOM",30,"SCHL",0.187173454448976,0.186428485858531
"ULWOM",31,"DNKA",0.303534836432187,0.155037245211173
"ULWOM",31,"ESXC",0.430082033366838,0.190158555485364
"ULWOM",31,"FDSC",0.717528613361699,0.144239817369098
"ULWOM",31,"GOVG",0.103931292602244,0.160496441248252
"ULWOM",31,"VLNC",0.61933192305959,0.148576350369709
